Sveitarfélag	Aldur	Ár	Kyn	Mannfjöldi eftir sveitarfélagi, kyni og aldri 1. janúar 1998-2024
Reykhólahreppur	Alls	2009	Alls	280
Reykhólahreppur	Alls	2010	Alls	291
Reykhólahreppur	Alls	2011	Alls	271
Reykhólahreppur	Alls	2012	Alls	261
Reykhólahreppur	Alls	2013	Alls	273
Reykhólahreppur	Alls	2014	Alls	261
Reykhólahreppur	Alls	2015	Alls	258
Reykhólahreppur	Alls	2016	Alls	258
Reykhólahreppur	Alls	2017	Alls	279
Reykhólahreppur	Alls	2018	Alls	272
Reykhólahreppur	Alls	2019	Alls	255
Reykhólahreppur	Alls	2020	Alls	258
Reykhólahreppur	Alls	2021	Alls	231
Reykhólahreppur	Alls	2022	Alls	228
Reykhólahreppur	Alls	2023	Alls	239
Reykhólahreppur	Alls	2024	Alls	236
Tálknafjarðarhreppur	Alls	2006	Alls	302
Tálknafjarðarhreppur	Alls	2007	Alls	293
Tálknafjarðarhreppur	Alls	2008	Alls	295
Tálknafjarðarhreppur	Alls	2009	Alls	308
Tálknafjarðarhreppur	Alls	2010	Alls	299
Tálknafjarðarhreppur	Alls	2011	Alls	295
Tálknafjarðarhreppur	Alls	2012	Alls	276
Tálknafjarðarhreppur	Alls	2013	Alls	288
Tálknafjarðarhreppur	Alls	2014	Alls	296
Tálknafjarðarhreppur	Alls	2015	Alls	303
Tálknafjarðarhreppur	Alls	2016	Alls	259
Tálknafjarðarhreppur	Alls	2017	Alls	231
Tálknafjarðarhreppur	Alls	2018	Alls	237
Tálknafjarðarhreppur	Alls	2019	Alls	242
Tálknafjarðarhreppur	Alls	2020	Alls	233
Tálknafjarðarhreppur	Alls	2021	Alls	251
Tálknafjarðarhreppur	Alls	2022	Alls	243
Tálknafjarðarhreppur	Alls	2023	Alls	258
Tálknafjarðarhreppur	Alls	2024	Alls	250
Vesturbyggð	Alls	2006	Alls	964
Vesturbyggð	Alls	2007	Alls	939
Vesturbyggð	Alls	2008	Alls	928
Vesturbyggð	Alls	2009	Alls	900
Vesturbyggð	Alls	2010	Alls	935
Vesturbyggð	Alls	2011	Alls	884
Vesturbyggð	Alls	2012	Alls	892
Vesturbyggð	Alls	2013	Alls	926
Vesturbyggð	Alls	2014	Alls	925
Vesturbyggð	Alls	2015	Alls	983
Vesturbyggð	Alls	2016	Alls	993
Vesturbyggð	Alls	2017	Alls	1010
Vesturbyggð	Alls	2018	Alls	1006
Vesturbyggð	Alls	2019	Alls	982
Vesturbyggð	Alls	2020	Alls	1001
Vesturbyggð	Alls	2021	Alls	1026
Vesturbyggð	Alls	2022	Alls	1080
Vesturbyggð	Alls	2023	Alls	1104
Vesturbyggð	Alls	2024	Alls	1106
Súðavíkurhreppur	Alls	2006	Alls	240
Súðavíkurhreppur	Alls	2007	Alls	225
Súðavíkurhreppur	Alls	2008	Alls	214
Súðavíkurhreppur	Alls	2009	Alls	212
Súðavíkurhreppur	Alls	2010	Alls	202
Súðavíkurhreppur	Alls	2011	Alls	191
Súðavíkurhreppur	Alls	2012	Alls	179
Súðavíkurhreppur	Alls	2013	Alls	176
Súðavíkurhreppur	Alls	2014	Alls	199
Súðavíkurhreppur	Alls	2015	Alls	202
Súðavíkurhreppur	Alls	2016	Alls	178
Súðavíkurhreppur	Alls	2017	Alls	180
Súðavíkurhreppur	Alls	2018	Alls	187
Súðavíkurhreppur	Alls	2019	Alls	197
Súðavíkurhreppur	Alls	2020	Alls	199
Súðavíkurhreppur	Alls	2021	Alls	197
Súðavíkurhreppur	Alls	2022	Alls	203
Súðavíkurhreppur	Alls	2023	Alls	223
Súðavíkurhreppur	Alls	2024	Alls	219
Árneshreppur	Alls	2006	Alls	50
Árneshreppur	Alls	2007	Alls	49
Árneshreppur	Alls	2008	Alls	48
