sveitarfel,year,property_type,total_price,total_area,average_price_per_sqm
Vestmannaeyjabær,2017,Fjölbýli,86400,373,231.6353887399464
Vestmannaeyjabær,2017,Sumarhús,13500,46,293.4782608695652
Vestmannaeyjabær,2018,Einbýli,51500,200,257.5
Vestmannaeyjabær,2018,Fjölbýli,39500,168,235.11904761904762
Vestmannaeyjabær,2018,Sérbýli,35200,158,222.78481012658227
Vestmannaeyjabær,2019,Einbýli,82500,374,220.58823529411765
Vestmannaeyjabær,2019,Fjölbýli,92800,276,336.231884057971
Vestmannaeyjabær,2019,Sérbýli,34500,137,251.82481751824818
Vestmannaeyjabær,2020,Einbýli,205500,797,257.8419071518193
Vestmannaeyjabær,2020,Fjölbýli,109300,427,255.97189695550352
Vestmannaeyjabær,2020,Sumarhús,18500,46,402.17391304347825
Vestmannaeyjabær,2021,Atvinnuhúsnæði,23500,110,213.63636363636363
Vestmannaeyjabær,2021,Einbýli,158000,671,235.4694485842027
Vestmannaeyjabær,2021,Fjölbýli,198550,664,299.0210843373494
Vestmannaeyjabær,2021,Sérbýli,325586,912,357.00219298245617
Vestmannaeyjabær,2022,Einbýli,748900,1888,396.6631355932203
Vestmannaeyjabær,2022,Fjölbýli,247800,838,295.7040572792363
Vestmannaeyjabær,2022,Sérbýli,54900,162,338.8888888888889
Vestmannaeyjabær,2023,Atvinnuhúsnæði,344000,1279,268.9601250977326
Vestmannaeyjabær,2023,Einbýli,198000,632,313.2911392405063
Vestmannaeyjabær,2023,Fjölbýli,123000,260,473.0769230769231
Vestmannaeyjabær,2023,Sérbýli,266500,675,394.81481481481484
Vestmannaeyjabær,2024,Einbýli,291400,902,323.059866962306
Vestmannaeyjabær,2024,Fjölbýli,122800,210,584.7619047619048
Vestmannaeyjabær,2024,Sumarhús,50000,80,625
Vestmannaeyjabær,2024,Sérbýli,90000,150,600
Vesturbyggð,2019,Einbýli,22500,108,208.33333333333334
Vesturbyggð,2021,Einbýli,25000,104,240.3846153846154
Vesturbyggð,2021,Sérbýli,40000,130,307.6923076923077
