Ár;Mánuður;Visitala_heild;Visitala_serb;Vísitala_fjölb
2021;8;770;791,5;763,7
2021;9;779,5;801,5;773,1
2021;10;790,2;805,7;785,4
2021;11;795,5;801,6;793,1
2021;12;810,2;817,9;807,6
2022;1;823,7;826,9;822,1
2022;2;844;849,6;841,9
2022;3;869,9;882,9;865,8
2022;4;893,6;908,9;889
2022;5;920,5;929;917,5
2022;6;941;936,8;940,9
2022;7;951;971,5;945,7
2022;8;946,9;948,1;946,2
2022;9;954,7;993,3;945,2
2022;10;960,2;986,8;954
2022;11;957,3;974,8;953,6
2022;12;950,9;954,1;951,2
2023;1;946,4;947,4;947
