Bar,Stærð (mL),Latitude,Longitude,Meðalverð (kr),Meðal Lítraverð (kr),Gull,Gull Lite,Tuborg Grön,Tuborg Classic,Víking Gylltur,Víking Lite,Víking Lite Classic,Thule,Carlsberg,Boli,Peroni,Stella Artois,Einstök White Ale,Einstök Pale Ale,Einstök Arctic Lager,Kaldi,Ölvisholt Lite,Eldgos,Somersby,Blanc,Bríó,Garún,Helga,Snorri,Úlfrún,Úlfur,Guinness,Bóndi,Heimabrugg/Annar IPA,Mynd (url)
GILLIGOGG,400,64.14757189716180,-21.93904528557730,1583,3958,,1550,,1550,,,,,,,,1550,,,,,1550,,,,,,,,1750,,1550,,,https://cdn.prod.website-files.com/664dfaf36190cbd0d2561ac9/669a56acbe8223d32f343d95_678E06BB-5212-440B-9388-DA14221A03CD.webp
The English Pub,500,64.14767049432370,-21.93944453614900,1600,3200,1600,1600,1600,1600,,,,,1600,1600,,,,,,,,,1600,1600,1600,,,,,,1600,,,https://visitorsguide.is/wp-content/uploads/2017/10/Englsih-pub-gallery-1-1024x683.jpg
Jungle Cocktail Bar,500,64.14785599432380,-21.93957030056690,1550,3100,,1500,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,https://images.prismic.io/jungleis/6bfc032e-34aa-47f5-956d-dd9431ca56f2_bar-2.jpg?auto=compress
American Bar,500,64.14777044262750,-21.94006204289510,1629,3257,1600,1600,,1600,,,,,1600,1600,,,,,,,,,1700,,,,,,,,1700,,,https://visitorsguide.is/wp-content/uploads/2017/10/American-bar-in-Reykjavik-1024x715.jpg
The Drunk Rabbit,500,64.14797665517810,-21.94029000056690,1600,3200,,,,,1600,1600,1600,1600,,,,,1600,1600,1600,,,,,,,,,,,,,1600,,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/dc/9a/78/the-drunk-rabbit-irish.jpg
Pablo Discobar,400,64.14818999432380,-21.94049700056690,1767,4417,,,,,1700,1700,,,,,,,1900,,,,,,,,,,,,,,,,,https://grapevine.is/food-main/2016/11/11/new-in-town-burro-pablo-discobar/attachment/_bic6094-pano_by_bicnick/
The Dubliner,500,64.14856099681640,-21.94028191652600,1583,3167,1600,1600,,1600,1500,,,,,1600,,,,,,,,,1600,,,,,,,,,,,https://images.myguide-cdn.com/reykjavik/companies/the-dubliner/large/the-dubliner-239571.jpg
Radar,400,64.14871708984440,-21.94020450824990,1650,4125,,,,,1600,1600,,,,,,,1700,1700,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNmiNl19NRBiEt5fjtp3I7u7zn6Q17PKUHhkFiW=w276-h368-k-no
Gaukurinn,500,64.14872176801080,-21.94016159290650,1540,3080,1500,1500,,1500,,,,,,1500,,,,,,,,,,,,,,,,,1700,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/49/9e/4b/gamli-gaukurinn.jpg?w=1200&h=-1&s=1
Bird,400,64.14860481361350,-21.93996847386120,1488,3719,,,,,1500,1500,,,,,,,1500,1500,1500,,,1400,,,,,,,,,,1500,1500,https://i0.wp.com/all-things-nordic.com/wp-content/uploads/2024/11/screenshot_2024-11-05-09-27-15-34_40deb401b9ffe8e1df2f1cc5ba480b12266394755465891515.jpg?resize=616%2C588&ssl=1
Exit,500,64.14802667690000,-21.94064666498490,1600,3200,1600,1600,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,https://www.visir.is/i/705548736787E4A6715272C853C9F01E71A291A63855EF2A03013238F8CD956F_713x0.jpg
Útópía,400,64.14786028108520,-21.93975656498480,1500,3750,1500,1500,1500,,,,,,,,,,,,,,,,1500,,,,,,,,,,,https://clubbable.blob.core.windows.net/medias/L%C3%9AX-Reykjavik
